,district,price,age,newness,squaremeters
4059, Gaziosmanpaşa ,125000000,5-10,85 m2,
4060, Bahçelievler ,1200000,21 Ve Üzeri,İkinci El,100 m2
4061, Küçükçekmece ,780000,21 Ve Üzeri,İkinci El,100 m2
4062, Beylikdüzü ,2039999,0 (Yeni),Sıfır,97 m2
4063, Beylikdüzü ,1699999,0 (Yeni),110 m2,Sıfır
4064, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
4065, Beylikdüzü ,1400000,5-10,Sıfır,100 m2
4066, Beylikdüzü ,899000,4,Sıfır,100 m2
4067, Beylikdüzü ,3389000,4,130 m2,
4068, Bağcılar ,2000000,5-10,İkinci El,120 m2
4069, Beylikdüzü ,1599999,0 (Yeni),Sıfır,105 m2
4070, Beylikdüzü ,499000,0 (Yeni),Sıfır,130 m2
4071, Beylikdüzü ,1149000,0 (Yeni),Sıfır,240 m2
4072, Beylikdüzü ,950000,0 (Yeni),Sıfır,110 m2
4073, Beylikdüzü ,769000,0 (Yeni),Sıfır,105 m2
4074, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
4075, Beylikdüzü ,899000,4,Sıfır,100 m2
4076, Beylikdüzü ,2400000,11-15,İkinci El,145 m2
4077, Beylikdüzü ,2580000,0 (Yeni),140 m2,
4078, Beylikdüzü ,2450000,0 (Yeni),220 m2,
4079, Beylikdüzü ,1700000,0 (Yeni),Sıfır,100 m2
4080, Beylikdüzü ,1700000,0 (Yeni),Sıfır,165 m2
4081, Beylikdüzü ,2399999,0 (Yeni),Sıfır,115 m2
4082, Beylikdüzü ,2865000,0 (Yeni),Sıfır,260 m2
4083, Beylikdüzü ,899000,4,İkinci El,100 m2
4084, Beylikdüzü ,1550000,0 (Yeni),Sıfır,105 m2
4085, Beylikdüzü ,1250000,5-10,Sıfır,70 m2
4086, Beylikdüzü ,22000000,0 (Yeni),Sıfır,450 m2
4087, Güngören ,2200000,21 Ve Üzeri,130 m2,
4088, Esenyurt ,1750000,4,İkinci El,130 m2
4089, Gaziosmanpaşa ,125000000,5-10,85 m2,
4090, Bahçelievler ,1200000,21 Ve Üzeri,İkinci El,100 m2
4091, Küçükçekmece ,780000,21 Ve Üzeri,İkinci El,100 m2
4092, Beylikdüzü ,2039999,0 (Yeni),Sıfır,97 m2
